Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,Season,Position
Bryce Cotton,PER,0.573,0.486,167.9,2.0,12.4,7.0,22.2,9.2,2.3,0.0,27.3,3.4,1.4,118.7,114.7,4.1,452.5,21.6,2023,PG
Derrick Walton Jr.,SYD,0.596,0.533,166.3,1.0,12.9,7.4,35.5,18.2,1.2,0.0,25.8,3.9,1.4,114.3,105.0,9.3,384.6,19.1,2023,PG
Isaac White,JACK,0.667,0.606,183.2,4.9,17.0,10.5,8.8,13.4,1.5,0.3,18.6,-2.2,1.6,126.0,109.8,16.2,105.5,18.9,2023,PG
Craig Randall II,ADE,0.627,0.598,187.8,0.0,10.9,5.6,18.4,19.1,1.6,0.0,27.9,-5.8,1.3,108.3,117.1,-8.8,60.2,18.3,2023,PG
William McDowell-White,NZB,0.535,0.495,162.2,2.8,17.2,10.1,32.3,17.4,1.5,0.9,18.8,6.6,1.2,113.4,105.9,7.5,386.8,16.5,2023,PG
Xavier Rathan-Mayes,MEL,0.536,0.527,136.7,2.8,17.5,10.3,25.8,14.8,1.7,0.4,24.0,2.3,1.2,107.7,108.1,-0.4,284.4,16.4,2023,PG
Joshua Magette,JACK,0.493,0.438,151.4,2.4,11.4,6.5,23.5,11.9,3.7,0.1,18.4,5.9,1.1,110.8,107.2,3.5,257.6,15.5,2023,PG
Gary Browne,SEM,0.492,0.463,129.0,3.1,11.2,7.0,35.1,17.9,2.6,0.2,22.7,5.7,1.1,105.1,111.0,-5.9,200.7,15.3,2023,PG
Shannon Scott,CRN,0.533,0.504,155.5,4.1,12.1,8.1,28.3,17.2,2.6,0.9,16.8,5.2,1.2,111.4,102.9,8.5,322.7,14.5,2023,PG
Devondrick Walker,BRI,0.639,0.621,169.5,1.4,10.2,6.1,14.4,16.6,1.2,0.0,22.1,-2.7,1.4,108.4,117.1,-8.6,24.3,14.4,2023,PG
Peyton Siva,ILL,0.524,0.47,154.7,0.3,8.8,4.2,36.7,22.1,3.2,0.0,18.1,6.2,1.2,104.6,115.5,-10.9,88.9,14.3,2023,PG
Ian Clark,ADE,0.606,0.56,173.7,1.4,10.2,5.8,18.7,19.9,1.6,1.5,21.9,-1.7,1.3,108.2,118.1,-9.9,69.2,14.1,2023,PG
Shea Ili,MEL,0.532,0.46,154.9,5.8,9.4,7.7,22.1,20.0,1.8,2.0,18.7,2.0,1.3,110.4,108.8,1.6,91.9,13.7,2023,PG
Corey Webster,PER,0.553,0.528,160.0,1.6,10.8,6.1,12.0,11.0,0.9,0.2,23.0,-0.9,1.2,105.7,118.9,-13.2,197.6,13.4,2023,PG
Mitchell McCarron,ADE,0.559,0.506,142.3,6.0,12.9,9.6,17.2,20.3,2.6,0.9,12.6,2.5,1.3,114.7,114.0,0.7,244.2,13.3,2023,PG
Makuach Maluach,MEL,0.615,0.586,174.7,6.8,5.8,6.3,5.6,18.4,1.3,1.7,19.2,-5.6,1.4,108.1,113.6,-5.5,24.2,12.6,2023,PG
Kyle Zunic,PER,0.459,0.4,123.9,4.2,6.5,5.3,14.3,11.1,3.0,1.9,23.4,0.7,1.1,97.3,113.5,-16.2,12.4,12.4,2023,PG
Nathan Sobey,BRI,0.519,0.449,150.7,1.9,11.2,6.7,24.8,19.1,1.4,0.4,24.9,-1.1,1.2,97.8,112.2,-14.4,219.2,11.9,2023,PG
Izayah Mauriohooho Le'Afa,NZB,0.549,0.517,152.0,2.6,7.7,5.2,12.0,19.7,2.3,0.5,19.4,-3.6,1.2,100.1,108.1,-8.0,187.9,11.2,2023,PG
Ben Ayre,CRN,0.522,0.488,156.1,1.7,6.3,4.0,17.2,11.0,1.2,0.4,19.8,1.9,1.1,106.5,107.7,-1.3,85.5,10.7,2023,PG
Jason Cadee,BRI,0.519,0.473,149.6,1.2,8.7,5.1,22.1,17.3,1.6,0.0,19.7,1.2,1.2,100.2,112.1,-11.9,167.5,10.7,2023,PG
Owen Foxwell,SEM,0.483,0.448,130.4,6.0,5.7,5.9,11.0,16.2,3.7,1.6,12.1,0.6,1.1,106.3,110.7,-4.4,58.7,10.3,2023,PG
