Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Season,Position
Brady Manek,PER,30,27.9,13.2,4.7,10.2,0.464,2.6,6.3,0.407,1.2,1.5,0.795,1.5,3.9,5.4,1.7,0.7,0.5,0.8,1.8,2023,SF
Craig Randall II,ADE,6,31.2,20.1,7.3,15.2,0.478,3.6,9.1,0.4,2,2,1,0,3.1,3.1,3,1,0,3.8,1,2023,PG
Derrick Walton Jr.,SYD,34,27.4,15.5,5.2,10.9,0.474,1.3,3.4,0.375,3.9,4.8,0.814,0.2,3.5,3.7,6,0.6,0,2.9,1.6,2023,PG
Nathan Sobey,BRI,27,31.9,14.9,4.7,12.4,0.376,1.8,6.3,0.285,3.8,4.5,0.846,0.5,3.3,3.8,4.6,0.9,0.1,3.4,2,2023,PG
Xavier Rathan-Mayes,MEL,27,28.8,14.3,5.4,12.3,0.441,2.1,5.7,0.373,1.3,2.4,0.554,0.7,4.7,5.4,4.5,1,0.1,2.3,2.2,2023,PG
Bryce Cotton,PER,30,36.4,23.5,7,17.3,0.404,2.8,7.9,0.362,6.7,7.3,0.913,0.7,3.9,4.6,4.9,1.6,0,2.1,1.7,2023,PG
Gary Browne,SEM,20,28.3,12.2,4.4,11,0.397,1.5,5.4,0.271,2.1,3.3,0.621,0.8,2.8,3.6,6.5,1.5,0.1,2.7,1.7,2023,PG
Ian Clark,ADE,10,24.6,11.8,4.2,8.8,0.473,1.5,4.4,0.356,1.9,2.1,0.909,0.3,2.1,2.4,3,0.8,0.4,2.4,2.2,2023,PG
Jason Cadee,BRI,24,30.4,11.5,3.9,10,0.396,1.5,5.3,0.29,2.1,2.6,0.81,0.3,2.4,2.8,4,1,0,2.3,1.9,2023,PG
William McDowell-White,NZB,34,29.4,11.1,4.1,9.6,0.424,1.4,4.6,0.3,1.6,1.8,0.898,0.7,4.6,5.3,6.1,0.9,0.3,2.2,2.2,2023,PG
Joshua Magette,JACK,28,28.7,10.6,3.4,9.6,0.355,1.6,5,0.316,2.2,2.6,0.843,0.7,2.6,3.3,4.6,2.1,0,1.4,2.4,2023,PG
