Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Season,Position
Craig Randall II,ADE,6,31.2,0.6,0.2,0.5,0.478,0.1,0.3,0.4,0.1,0.1,1.0,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0,2023,PG
Bryce Cotton,PER,30,36.4,0.6,0.2,0.5,0.404,0.1,0.2,0.362,0.2,0.2,0.913,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0,2023,PG
Derrick Walton Jr.,SYD,34,27.4,0.6,0.2,0.4,0.474,0.0,0.1,0.375,0.1,0.2,0.814,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1,2023,PG
Devondrick Walker,BRI,5,17.3,0.5,0.2,0.4,0.455,0.1,0.3,0.44,0.0,0.1,0.8,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,2023,PG
Corey Webster,PER,29,27.7,0.5,0.2,0.4,0.452,0.1,0.2,0.394,0.1,0.1,0.754,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,2023,PG
Xavier Rathan-Mayes,MEL,27,28.8,0.5,0.2,0.4,0.441,0.1,0.2,0.373,0.0,0.1,0.554,0.0,0.2,0.2,0.2,0.0,0.0,0.1,0.1,2023,PG
Isaac White,JACK,28,11.0,0.5,0.2,0.3,0.522,0.1,0.1,0.484,0.1,0.2,0.826,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.1,2023,PG
Ian Clark,ADE,10,24.6,0.5,0.2,0.4,0.473,0.1,0.2,0.356,0.1,0.1,0.909,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,2023,PG
Nathan Sobey,BRI,27,31.9,0.5,0.1,0.4,0.376,0.1,0.2,0.285,0.1,0.1,0.846,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,2023,PG
Makuach Maluach,MEL,18,6.3,0.4,0.1,0.3,0.457,0.1,0.1,0.563,0.1,0.1,0.727,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,2023,PG
Kyle Zunic,PER,14,3.6,0.4,0.1,0.4,0.35,0.0,0.2,0.222,0.1,0.2,0.667,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1,2023,PG
Gary Browne,SEM,20,28.3,0.4,0.2,0.4,0.397,0.1,0.2,0.271,0.1,0.1,0.621,0.0,0.1,0.1,0.2,0.1,0.0,0.1,0.1,2023,PG
Ben Ayre,CRN,32,13.7,0.4,0.1,0.4,0.388,0.1,0.2,0.34,0.1,0.1,0.833,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,2023,PG
Izayah Mauriohooho Le'Afa,NZB,35,27.2,0.4,0.1,0.3,0.407,0.1,0.2,0.363,0.1,0.1,0.75,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,2023,PG
William McDowell-White,NZB,34,29.4,0.4,0.1,0.3,0.424,0.0,0.2,0.3,0.1,0.1,0.898,0.0,0.2,0.2,0.2,0.0,0.0,0.1,0.1,2023,PG
Jason Cadee,BRI,24,30.4,0.4,0.1,0.3,0.396,0.1,0.2,0.29,0.1,0.1,0.81,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,2023,PG
Joshua Magette,JACK,28,28.7,0.4,0.1,0.3,0.355,0.1,0.2,0.316,0.1,0.1,0.843,0.0,0.1,0.1,0.2,0.1,0.0,0.1,0.1,2023,PG
Shea Ili,MEL,13,23.6,0.4,0.1,0.3,0.386,0.0,0.1,0.351,0.1,0.1,0.811,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1,2023,PG
