Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Season,Position
Bryce Cotton,PER,30,1093.4,704,210,519,0.404,85,236,0.362,200,219,0.913,20,118,138,148,49,0,62,50,2023,PG
Derrick Walton Jr.,SYD,34,931.4,527,175,370,0.474,44,117,0.375,133,163,0.814,8,118,126,204,21,0,98,54,2023,PG
Corey Webster,PER,29,803.0,413,156,345,0.452,52,133,0.394,49,65,0.754,12,75,87,58,14,2,46,58,2023,PG
Nathan Sobey,BRI,27,860.6,402,126,334,0.376,48,169,0.285,102,121,0.846,14,89,102,123,25,4,91,54,2023,PG
Xavier Rathan-Mayes,MEL,27,776.4,385,146,331,0.441,57,154,0.373,36,65,0.554,19,127,146,121,26,3,62,59,2023,PG
William McDowell-White,NZB,34,999.8,378,139,327,0.424,47,155,0.3,55,61,0.898,25,156,181,207,30,9,74,74,2023,PG
Izayah Mauriohooho Le'Afa,NZB,35,951.8,371,124,305,0.407,67,185,0.363,56,74,0.75,22,66,88,74,44,5,83,79,2023,PG
Shannon Scott,CRN,31,928.7,313,112,272,0.413,49,138,0.357,39,50,0.784,34,99,134,165,48,9,61,77,2023,PG
Joshua Magette,JACK,28,803.1,297,96,269,0.355,45,141,0.316,61,73,0.843,19,74,93,129,59,1,41,67,2023,PG
Jason Cadee,BRI,24,730.6,276,95,239,0.396,37,128,0.29,50,61,0.81,8,59,66,97,23,0,56,45,2023,PG
Gary Browne,SEM,20,566.9,244,87,219,0.397,29,107,0.271,41,66,0.621,16,55,71,129,29,1,54,34,2023,PG
Mitchell McCarron,ADE,26,776.5,200,74,152,0.487,6,33,0.182,45,60,0.754,40,89,128,98,41,7,45,49,2023,PG
Ben Ayre,CRN,32,439.4,183,63,163,0.388,33,96,0.34,25,30,0.833,7,25,32,45,11,2,22,53,2023,PG
Isaac White,JACK,28,306.9,152,49,93,0.522,16,32,0.484,39,48,0.826,14,42,57,17,9,1,18,29,2023,PG
Lachlan Timothy Dent,ILL,25,386.2,124,46,121,0.383,21,59,0.356,10,12,0.833,14,33,47,45,12,1,33,47,2023,PG
Craig Randall II,ADE,6,187.5,121,44,91,0.478,22,54,0.4,12,12,1.0,0,19,19,18,6,0,23,6,2023,PG
Jarrad Weeks,JACK,31,386.7,120,39,87,0.452,30,64,0.468,11,24,0.478,9,28,37,16,8,0,22,50,2023,PG
Ian Clark,ADE,10,246.5,118,42,88,0.473,15,44,0.356,19,21,0.909,3,21,24,30,8,4,24,22,2023,PG
Shea Ili,MEL,13,307.4,112,34,88,0.386,13,37,0.351,30,37,0.811,15,27,42,48,11,7,26,30,2023,PG
Peyton Siva,ILL,11,298.8,101,31,85,0.369,17,58,0.293,23,26,0.885,1,22,23,68,19,0,27,33,2023,PG
Owen Foxwell,SEM,17,278.2,65,21,58,0.362,10,31,0.323,13,21,0.619,15,14,29,22,21,5,13,30,2023,PG
Makuach Maluach,MEL,18,113.0,49,16,35,0.457,9,16,0.563,8,11,0.727,7,6,13,4,3,2,9,12,2023,PG
Devondrick Walker,BRI,5,86.7,45,15,33,0.455,11,25,0.44,4,5,0.8,1,8,9,7,2,0,7,6,2023,PG
Lachlan Barker,MEL,14,154.1,43,13,40,0.325,8,23,0.348,9,12,0.75,1,13,14,8,5,0,11,11,2023,PG
Alex Mudronja,ILL,22,171.1,42,15,38,0.395,4,16,0.25,8,8,1.0,4,15,19,6,4,0,10,20,2023,PG
Kyle Zunic,PER,14,50.5,22,7,20,0.35,2,9,0.222,6,9,0.667,2,3,5,5,3,1,3,3,2023,PG
Biwali Bayles,SYD,10,82.7,19,6,23,0.25,1,12,0.083,6,10,0.6,1,10,11,8,1,1,7,13,2023,PG
Alexander McNaught,NZB,12,57.0,11,4,11,0.364,1,4,0.25,2,4,0.5,0,6,6,7,4,1,7,12,2023,PG
Justin Robinson,ILL,1,31.0,9,4,17,0.25,0,8,0.0,0,0,0.0,2,3,4,7,1,1,0,3,2023,PG
Iggy Mitchell,SYD,3,22.3,5,2,5,0.4,0,1,0.0,1,1,1.0,2,4,6,0,0,1,1,3,2023,PG
Walter Brown,JACK,8,15.5,3,1,2,0.5,1,2,0.5,0,0,0.0,0,2,2,0,0,1,2,4,2023,PG
Bryce Cotton,PER,28,986.4,638,206,499,0.412,88,246,0.359,138,151,0.913,24,82,106,137,39,1,55,35,2022,PG
Jaylen Adams,SYD,24,747.4,492,162,363,0.446,73,176,0.413,96,114,0.836,16,105,121,137,27,6,71,68,2022,PG
Tyler Harvey,ILL,28,894.1,451,167,413,0.405,68,211,0.322,48,60,0.8,6,90,96,89,47,4,40,50,2022,PG
Xavier Munford,SEM,26,713.3,430,161,354,0.455,31,93,0.33,77,94,0.811,17,89,105,107,34,6,58,57,2022,PG
Joshua Magette,JACK,34,1067.6,410,140,403,0.347,67,235,0.284,64,81,0.785,30,114,144,206,63,4,71,86,2022,PG
Matt Dellavedova,MEL,30,768.6,300,109,280,0.389,48,133,0.358,35,48,0.735,20,71,91,141,24,2,61,58,2022,PG
Peyton Siva,NZB,23,614.1,276,83,228,0.366,48,144,0.331,61,74,0.822,10,48,58,108,46,3,53,60,2022,PG
Kyle Adnam,SEM,25,427.1,222,78,194,0.4,28,74,0.378,39,44,0.886,7,40,47,63,8,0,37,44,2022,PG
Mitchell McCarron,ADE,27,917.0,209,78,221,0.355,23,88,0.264,29,39,0.763,43,146,189,133,53,9,52,48,2022,PG
Nathan Sobey,BRI,12,349.5,192,59,154,0.381,22,79,0.278,53,61,0.869,5,47,52,42,10,4,28,16,2022,PG
Scott Machado,CRN,18,494.2,186,62,205,0.303,23,102,0.23,39,50,0.776,2,55,57,97,11,2,53,35,2022,PG
William McDowell-White,NZB,24,573.4,162,59,143,0.41,32,86,0.369,13,14,0.929,16,63,79,82,23,5,29,40,2022,PG
Chasson Randle,NZB,17,328.6,133,43,119,0.364,23,75,0.311,23,29,0.793,8,14,22,15,9,2,21,51,2022,PG
Jeremiah Martin,NZB,10,297.2,129,49,125,0.392,7,32,0.226,23,32,0.71,5,22,27,33,13,4,18,21,2022,PG
Tad Dufelmeier Jr.,ADE,27,367.4,118,46,116,0.395,8,34,0.242,18,27,0.667,27,29,57,59,16,1,27,37,2022,PG
Jarrad Weeks,JACK,33,362.2,116,40,110,0.364,26,78,0.329,10,12,0.833,8,46,54,30,3,1,20,26,2022,PG
Jarrod Kenny,CRN,21,338.5,65,22,56,0.386,15,42,0.357,7,9,0.778,7,26,33,41,5,2,21,26,2022,PG
Isaac White,ILL,24,182.6,64,21,54,0.389,7,21,0.333,15,18,0.833,16,24,40,12,3,1,8,17,2022,PG
Biwali Bayles,SYD,17,171.9,59,22,57,0.379,6,23,0.261,10,16,0.625,2,22,24,18,5,3,15,16,2022,PG
Ben Ayre,CRN,8,129.9,51,15,41,0.372,10,25,0.385,11,13,0.846,2,12,13,27,5,1,8,15,2022,PG
Lachlan Barker,SEM,14,106.9,36,14,34,0.412,3,10,0.3,5,6,0.833,5,5,10,4,2,0,4,8,2022,PG
Tamuri Wigness,BRI,17,115.0,34,14,34,0.412,2,7,0.286,4,6,0.667,3,12,15,9,3,0,6,9,2022,PG
Kyle Zunic,PER,16,161.7,27,10,36,0.286,3,23,0.13,4,6,0.667,4,18,22,12,5,0,6,9,2022,PG
Emmett Naar,ILL,10,49.0,11,5,10,0.5,0,2,0.0,1,2,0.5,1,6,7,7,1,0,2,3,2022,PG
Owen Foxwell,SEM,4,42.3,8,3,7,0.429,1,2,0.5,1,2,0.5,4,2,6,2,1,0,1,7,2022,PG
Robbie Heath,CRN,3,10.9,4,2,5,0.4,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,2022,PG
Iggy Mitchell,SYD,3,6.5,1,0,0,0.0,0,0,0.0,1,2,0.5,1,0,1,0,0,0,0,0,2022,PG
Lachlan Timothy Dent,ILL,6,12.0,0,0,5,0.0,0,4,0.0,0,0,0.0,0,0,0,0,1,0,1,4,2022,PG
Sejr Deans,JACK,2,2.1,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,2022,PG
Jayden Hodgson,SYD,5,10.7,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,1,2022,PG
Nathan Sobey,BRI,36,1225.7,734,252,550,0.458,102,266,0.382,129,145,0.887,25,145,170,163,33,9,90,58,2021,PG
Casper Ware,SYD,36,1202.6,629,212,529,0.402,75,247,0.304,128,156,0.823,16,98,114,156,26,3,94,72,2021,PG
Scott Machado,CRN,35,1087.8,555,198,483,0.411,69,193,0.358,90,112,0.8,21,103,124,245,33,1,108,81,2021,PG
Kyle Adnam,SEM,39,866.4,466,158,393,0.401,61,166,0.367,90,107,0.841,15,56,71,138,26,0,66,89,2021,PG
Mitchell McCarron,MEL,42,1266.2,394,148,340,0.436,37,118,0.308,61,72,0.849,41,174,215,211,56,14,79,68,2021,PG
Keifer Sykes,SEM,27,730.5,390,148,356,0.416,50,137,0.365,44,51,0.863,17,67,84,135,21,2,56,61,2021,PG
Corey Webster,NZB,28,724.1,381,144,336,0.429,53,149,0.354,40,47,0.848,14,78,92,81,24,1,53,75,2021,PG
Mitchell Norton,PER,41,986.8,348,112,262,0.429,18,49,0.354,106,136,0.78,44,101,145,152,35,0,62,89,2021,PG
Justin Simon,ILL,39,996.4,337,138,328,0.419,16,66,0.242,46,88,0.523,74,143,217,83,72,23,35,65,2021,PG
Josh Giddey,ADE,28,899.7,301,113,265,0.425,29,99,0.293,47,68,0.691,31,175,206,206,31,13,92,43,2021,PG
Shea Ili,MEL,34,637.9,222,76,183,0.414,34,80,0.42,36,46,0.787,21,61,82,67,21,4,42,73,2021,PG
Izayah Mauriohooho Le'Afa,SEM,32,508.8,195,74,169,0.438,37,105,0.352,10,13,0.769,9,51,60,58,29,2,35,68,2021,PG
William McDowell-White,NZB,20,558.3,162,63,163,0.39,27,93,0.286,8,10,0.8,13,73,86,103,16,9,26,34,2021,PG
Emmett Naar,ILL,37,497.3,138,52,136,0.382,14,41,0.341,20,25,0.8,15,34,49,94,12,0,30,23,2021,PG
Isaac White,ILL,31,344.3,135,48,114,0.421,20,61,0.328,19,21,0.905,11,37,48,16,7,0,20,30,2021,PG
Daniel Dillon,ADE,30,391.3,108,41,91,0.451,4,18,0.222,21,34,0.618,9,37,46,57,12,2,23,36,2021,PG
Jarrod Kenny,CRN,36,477.8,95,33,93,0.352,23,61,0.383,6,12,0.5,14,42,56,54,10,0,20,61,2021,PG
Adam Gibson,SEM,24,314.7,79,29,78,0.372,15,49,0.306,6,8,0.75,10,24,34,26,8,0,12,31,2021,PG
Tamuri Wigness,BRI,27,303.4,77,33,87,0.378,8,28,0.276,3,5,0.6,12,25,37,27,12,3,17,23,2021,PG
Jarrad Weeks,NZB,18,230.1,66,22,61,0.361,9,44,0.205,13,17,0.765,1,15,16,19,3,0,18,20,2021,PG
